PercentagePop,WorldIncome ,USIncome
0.01,181.44,0
0.02,249.48,600
0.03,317.52,4000
0.04,385.56,7000
0.05,408.24,9000
0.06,476.28,10000
0.07,521.64,11000
0.08,544.32,12104
0.09,589.68,13367
0.1,635.04,14603
0.11,657.72,15648
0.12,703.08,16859
0.13,725.76,18000
0.14,771.12,19021
0.15,816.48,20000
0.16,839.16,21032
0.17,884.52,22211
0.18,929.88,23623
0.19,975.24,24779
0.2,997.92,25555
0.21,1043.28,26840
0.22,1088.64,28000
0.23,1134,29218
0.24,1179.36,30004
0.25,1224.72,31201
0.26,1270.08,32300
0.27,1315.44,33669
0.28,1360.8,35000
0.29,1406.16,35906
0.3,1451.52,37000
0.31,1496.88,38060
0.32,1542.24,39712
0.33,1587.6,40381
0.34,1655.64,41957
0.35,1723.68,43040
0.36,1769.04,44599
0.37,1837.08,45552
0.38,1882.44,47000
0.39,1950.48,48300
0.4,2018.52,50000
0.41,2086.56,50272
0.42,2177.28,51801
0.43,2245.32,53058
0.44,2336.04,54890
0.45,2404.08,56000
0.46,2494.8,57435
0.47,2585.52,59000
0.48,2676.24,60015
0.49,2766.96,61520
0.5,2880.36,63030
0.51,2971.08,64859
0.52,3084.48,66110
0.53,3197.88,67894
0.54,3333.96,69563
0.55,3447.36,70798
0.56,3583.44,72521
0.57,3719.52,74640
0.58,3878.28,75830
0.59,4037.04,77566
0.6,4195.8,79526
0.61,4377.24,81000
0.62,4558.68,83020
0.63,4762.8,85040
0.64,4966.92,87004
0.65,5171.04,89452
0.66,5397.84,91001
0.67,5647.32,93268
0.68,5919.48,95572
0.69,6191.64,98150
0.7,6486.48,100201
0.71,6804,102671
0.72,7121.52,105100
0.73,7484.4,107592
0.74,7869.96,110200
0.75,8278.2,113010
0.76,8686.44,116115
0.77,9162.72,119686
0.78,9639,122300
0.79,10183.32,126000
0.8,10727.64,130000
0.81,11362.68,133602
0.82,12043.08,138000
0.83,12746.16,142141
0.84,13539.96,147100
0.85,14379.12,151124
0.86,15309,156441
0.87,16329.6,162503
0.88,17350.2,169000
0.89,18597.6,175847
0.9,19958.4,184200
0.91,21546,194041
0.92,23247,203606
0.93,25288.2,216170
0.94,27783,231175
0.95,30731.4,248304
0.96,34813.8,272000
0.97,40483.8,305501
0.98,50349.6,359173
0.99,74163.6,475116